Dominant_Topic,Topic_Perc_Contrib,Text
6.0,0.1856,"I have used Cleanly three times -- to wash clothes, bedding, and bath linens. I was very impressed with the high quality of service I received:- Neatly folded and organized laundry in the bag.- Couriers were polite and on time.- Quick turn around time.- Great flexibility for morning/night pickup and drop off times!- Love the option to be able to reschedule!If you are planning to move or go on a trip, get your laundry done with Cleanly! It makes packing so much easier! And your clothes will smell amazing."
0.0,0.23,"**Update** Still love the service and convenience, I use this service for work and for billing purposes I need to have the main address listed on the account, however the pick up and drop off locations would be our loading dock directly behind our building. Updates to the app need to be made to be able to specify billing address and pick up/drop off address. The couriers don't always read the comments like you think they should, but besides that minor flaw i still rate the service and convenience with 5 stars!!"
1.0,0.1214,I live on the sixth floor of a walk up with no in unit laundry so it's a big help to have cleanly. The dry cleaning haas been good and they got out all stains. Pretty consistent with pickup
5.0,0.1492,"Cleanly is a really nice laundry service! The app is easy to use. My clothes always come back smelling nicely and folded neatly. I wish the tipping situation was a bit clearer. As of now, you wait to tip until after the carrier picks up and drops off your clothes. Other than that, I'm very pleased!"
8.0,0.1464,"We have no laundry in our building and the closest laundromat is too far away, unfortunately. We always receive excellent service with Cleanly. Our laundry always smells so good and is folded perfectly, so amazing to not have the hassle. Also, 90% of the time its sorted for us, which makes life a lot easier with our busy schedules. The app is so convenient and the staff is always very nice and kind. We are cleanly reserve members and it really pays off! Cleanly is worth every cent!"
3.0,0.1494,Love cleanly support service team and the delivery team!!! My clothes smell amazing all the time!!!
4.0,0.1514,"I've really enjoyed my experience with Cleanly thus far - I've never been one to have my laundry sent out (been doing it myself since I was a kid) - but my roommate and I moved into a building that was supposed to have laundry in building and two months in they still have not installed - and since we didn't scope out neighborhood laundromats because of this - we turned to Cleanly! It is very easy to use and schedule pickup/dropoff, and i love how the clothes come back better folded than I could ever do myself, and they sort everything for you! I find it pretty affordable with all the promo codes & discounts they offer, but I've only done the basic wash & fold. Drivers are always super friendly! Will keep using until I have my own W/D :)"
6.0,0.1348,Much easier than traditional cleaners. Time is a commodity that I can't affront to waste and Cleanly helps me from going down the street with heavy bags.
5.0,0.1585,"I've been using Cleanly for 3 years (the whole time I've lived in NYC), and they have done a great job. They were late just once that I can remember, and they more than made up for it with a credit to my account. My clothes always come back clean and folded. It beats doing laundry yourself!"
6.0,0.157,"Cleanly is great. I love the quality laundry bags, and usually the service is on time and they make it right if something is ever late. The prices are a little higher than local neighborhood spots, but the convenience is worth it! It's nice to have someone schlepp all of my laundry and dry cleaning. One less thing to waste time on!"
4.0,0.1783,We are using it around once or twice per month and are quite happy so far with reasonable pricing for good service.Cleanly is great especially with a part time doorman as you can still define the 1h time slot to pick up and drop off.So far Cleanly always made it in time before the doorman left (earliest evening slot is 7-8 and doorman leaves at 8; wish there was an earlier slot just to have some buffer).Overall highly recommended.
2.0,0.1346,"I've used Cleanly for wash & fold in the past year and have had consistently good experiences. Despite a couple of small hiccups here and there, their customer service is responsive and my clothes always come back soft, perfectly folded, and smelling so nice."
6.0,0.1658,"Have always had a great experience with Cleanly each time I've used it! If there was any type of delay, the concierge would provide a credit for the next time. Very responsive."
6.0,0.1443,"For a while I felt like sending my laundry away was a ""splurge"", but honestly every time I get the bill, it's always quite fair for how much stuff I send out. Fair pricing and the ease of an app makes this service my go-to for quick and easy, stress-free, thought-free laundry. They've never lost anything or ruined the colors like some of the laundromats that I've dropped off at, which makes it a step above any other manual service I've tried. Even if you don't stick with it I highly recommend trying this service out, they give you some great deals just for trying them out!!!"
3.0,0.1589,"This is an excellent service. They've always been respectful of time and willing to reschedule. Service is limited on holidays but in general very accessible. Prices are fair for the cleanliness. I like how easy to use the app is and how clear the pricing is. There are a couple of bugs here and there with rescheduling but they seem to be fixing stuff regularly. Overall, I made the switch to cleanly a year ago and I'm very happy."
8.0,0.1847,"Cleanly makes my busy life so much simpler. I started using them when they first opened a few years ago. Since their business has grown so quickly their has started to be some inconsistencies but their customer service is phenomenal and keeps me coming back. Also loving the new benefits they have been adding. A few months ago they sent out a survey and they really took it to heart and seem to have implemented a lot of the feedback. Shout out to cleanly for always keeping me ""so fresh and so clean"""
7.0,0.2061,"I've used Cleanly 3 times so far and I haven't run into any issues. The tones for pickup/drop off are convenient even if I order for pickup with less than 12hrs notice. My clothes always return perfectly folded in bags. They always smell fresh as well. I can't attest for any hang dry or dry clean things as I have only done regular laundry. My only issues: On my first order it says you will receive 3 Cleanly bags for dry cleaning, hang dry and regular wash although I only received 1 unmarked black laundry bag (which is fine because that's all I need but still). My only other issue is that usually in the morning for pickup each time they have been late. I always get a text saying ""Traffic is bad, your cleanly concierge is running 45 minutes late"". I've had about 50/50 with late or on time pickup/drop off. All in all I would recommend!"
5.0,0.1687,"I had a great experience with Cleanly. It is the first time I tried dry cleaning delivery service and I must say i was very satisfied with their service. Their app is easy to use and navigate and neatly designed. I just left my clothes with my front desk staff and the clothes were picked up and delivered within promised time frames. All my clothes were nicely cleaned and pressed when I received them back. The price is very reasonable especially considering it's a dry cleaning delivery service in the city (I got 20% off for my first order, and I don't think there was delivery fee at all, though I imagine I will be charged with delivery fees in future orders). I saw some negative reviews here about losing items and not being able to get reimbursed which sounds horrible. But fortunately it didn't happen with me so I think I would still use them in the future based on my personal experience. Definitely recommend"
6.0,0.1365,Excellent service - on time and my clothes came back perfectly washed and folded. Smelt great unlike some other services. Had major issues with Fly Cleaner and I'm so much happier with the customer service and overall experience. Would recommend to anyone.
6.0,0.138,"I have used cleanly now about 3 times. They are super convenient to use. It's only about $8 more to use their service than to take my laundry down the street -wash it, dry it, fold it myself. It's a major time saver and am glad to use their services any time."
5.0,0.1481,"Delivery in time, easy system through the app, affordable prices, not a 5 star pressing quality."
3.0,0.2103,Was good until they lost my clothes. All seven items sent for hang dry a month ago missing and haven't heard back from themUpdate cleanly reimbursed me for the missing items
6.0,0.1429,AH - the best service! The communication is fantastic & they do such a great job! Clothes come back well organized and clean! I would recommend this to anyone in the NYC Area!
6.0,0.1575,"I love Cleanly! I had some issues with them being late or having limited availability earlier this year (something to do with drivers?), but seems like kinks have been worked out and now my laundry is always picked up and dropped off on time. I can get it in 24 hrs if I want! Drivers are friendly and helpful. They even fold my underwear! It's great to have a reliable laundry service so I don't have to waste time at the laundromat. Thanks Cleanly!"
0.0,0.1362,"Good service, app easy and simple to use, with prime annual membership no cancellation fees, only con: less flexible when something gets damaged"
1.0,0.2111,Cleanly helps make laundry easy and convenient for a busy lifestyle! I love that they can pick up and drop off really early in the mornings before I head to work. Also they include dry cleaning with my laundry so it is truly a double whammy for making my life easier. They will give little discount codes here and there which also helps when I have a ton of stuff to clean and it can get pricy.
5.0,0.1924,"I have now used the service 3 times and have been VERY pleased the valets are incredibly nice (even walking up to a 5th Floor walk up..), consistently on time, and my clothes have always come back perfect. I have not had any items missing that I have noticed. The app is so amazing and I like that it shows where my valet is and when to expect them.There was one time we had a shirt dry cleaned and after that became very brittle but I am not sure if that anything to do with Cleanly's service.I will definitely continue using this service, until I am shown any reason not too."
2.0,0.172,"Seriously amazing service. Easy app, also on time for pick up and drop off, friendly valets.The separate whites and colors at no fee and my clothes are never damaged. They also have convenient bags for hang dry, laundry and dry cleaning. All around makes my life so much easier."
4.0,0.3612,"I love first-class service. I especially love first-class service when it includes delivery/pickup straight to/from my door, and I love it even more when the result of the service is top-notch and first-class in itself. I heard about Cleanly thanks to the power of social media ads and tried it on a whim. I was going away for the weekend and didn't have time to do my laundry beforehand. Cleanly came to the rescue; they picked up my bag of wash-and-fold laundry and delivered the clean laundry two days later, at my request.I'm a graphic designer who works primarily in packaging design so I have deep respect when it comes to the wrapping and packaging of things. That being said, I've never seen anything packaged as pristinely as my folded clothing post-Cleanly. The laundry was folded in one perfectly neat stack and sealed tightly in plastic, then wrapped inside a thick, durable Cleanly laundry bag. In one compact stack the laundry was separated by clothing category, sort of how you might imagine a laundry layer cake if a laundry layer cake was a thing: sweatpants, t-shirts, workout clothing, yoga pants, sports bras, undergarments, socks. I put the perfect stack on my bed and took a photo to sent to all my friends who appreciate perfect things.Since that one fateful whim, I've sent out my laundry for Cleanly's wash-and-fold service a few times before going away on trips. I've also used their dry cleaning service and my clothing has returned as fresh as can be.The customer service at Cleanly is also first-class: you receive text messages when your order is picked up and underway, as well as notifications when it's dropped off. If Cleanly has any questions, they send a quick text to confirm things with you before proceeding. Also, the Cleanly app is A++, gorgeously designed, easy to navigate, et al. Life is too short to stay up until 1am doing your own laundry when you have a train to catch early the next morning for a 3-day trip; instead, catch some Zzz's and send your laundry out to Cleanly. You'll have sweet, sweet detergent dreams."
4.0,0.1637,"What a LIFESAVER! My building does not have laundry in it and the laundromat is juuuust far enough to make it incredibly undesirable. I used a friend's referral code for Cleanly and have been hooked! I have since used it probably upwards of 6 or 7 times. They do a great job with wash and fold, laundry service etc.I've only had them run late one time and I was very clearly communicated with and the delivery fee was refunded right away.The only reason this is not a 5 star service for me is because it is definitely not cheap. I've had bags of laundry that were less than half full and it will cost me $30 - yikes!Overall, a great service and I will continue to use for small loads :)"
7.0,0.1652,"I've been using Cleanly for a few months now, and it's been a phenomenal addition to my life. The clothes are always folded crisply, and with attention to detail - I love how the socks and other small items are separated from the rest of the laundry. The timeliness is usually on point as well. I've only had one or two issues with tardiness; one was only 10-15 minutes late, and another was 30 minutes late, but the delivery person seemed to have a physical ailment so I didn't have an issue. When I've needed rush delivery, that has been solid as well.Someone else mentioned that the fabric softener smell isn't as pronounced. That's true, but I never would have realized that if I hadn't read it, so I didn't allow that to detract from my score. There have also been a couple times where it's been more expensive than I assumed it would be, but not obscenely so. It's not like I weigh the laundry myself before sending it off, and the results are usually good enough for me not to care. I've been considering using the VIP, and I've been considering using the dry cleaning option. But I've also been considering taking my own control and doing my own laundry, haha. Still a great service though, and one I'm comfortable recommending."
1.0,0.2073,"Cleanly saves my life week after week! I hadn't seen the best reviews so I was hesitate---but I am so glad I tried it anyway. Doing laundry is impossible when you're a single, busy professional in NYC. I don't have laundry in my building, nor do I have the time to go sit at a laundromat for hours. To be honest, I don't even have time to simply take my laundry to drop it off. I love Cleanly because it is SO EASY to place an order for pick up and drop off service on the app. You can even get same-day. I give them almost 2-3 LARGE bags at a time and the guys pick it up and drop it off like champs! They bring it back perfectly folded or hanging and I've  never had an issue. LOVE this service---and that says a lot for New York."
7.0,0.1643,"Consistently a good experience overall. Just a few delivery miscommunications (i.e. wrong buzzer, showed up early, etc.) but otherwise no complaints. Their support team promptly responds to all issues/requests, which is appreciated. If they used my preferred detergent and fabric softener, I'd be in heaven!"
3.0,0.1426,"I would definitely use this service again. The communication was great! I recieved texts when to gather my items, when my items would be picked up/dropped off and if they were running behind. My clothes came back accounted for, freshly laundered and folded."
1.0,0.1967,"I've always had a great experience with Cleanly and prefer them over every other service and my local laundry place. The app makes it so easy to place my order and schedule a pickup/drop off. Sometimes when I'm working late I need to switch my times, and I appreciate how flexible they are. Their valets are really nice, and always come to the door with a smile. Since Cleanly's been around I haven't had to rush home before the laundry place closes, which makes all the difference because now I don't have to worry. I've always got all my items back, and they feel and smell great. I don't see myself going back to any other laundry service, which is a big statement. All my friends use them too and they don't have any issues whatsoever. Thanks Cleanly. Keep up the great work!"
3.0,0.1459,"Always an enjoyable experience with cleanly:) I have never experienced any serious problems with clothing. It always comes back smelling nice and fresh. Sometimes the pick up/ drop off is late due to traffic, but only by a few minutes in my experience."
5.0,0.151,"Great service and clothes come back smelling lovely. Very easy to schedule in the app, too. Use my referral code to get $5 off your first two orders. Code: JAKEDO10"
4.0,0.1496,"Cleanly is perfect for NYC! I use cleanly for sheets and towels because they never seem to dry in one cycles when using my buildings machines. I've used other similar services before but I that appreciate cleanly has a designated on call customer care service who is very helpful. Sometimes their app is not as user friendly as I'd ideally like, otherwise I'd give them 5 stars instead of 4."
0.0,0.195,"If you don't have machines in your apartment or building, doing laundry in the city is a complete pain. So, Cleanly has been a godsend. They have pick-up/drop-off times early in the AM so it's not hard to schedule for before leaving for work. Their app is very easy to use and you can edit your pickups/drop-offs right up to your appointment without penalties. Their prices seem competitive with other drop-off services near me and they often have coupons and discounts that make it even more affordable.While I know I should just suck it up and drag my clothes to the laundromat down the block, Cleanly's convenience and customer service have made it all the more worth it. I highly recommend."
4.0,0.1458,"Cleanly is fabulous! They are a simple and easy to use and I think pretty affordable, although I have nothing to compare it to. What I love most about Cleanly is they have a text message service which makes it simple to get updates and get into contact with them. They have also reached out to me for clarification through text.Their pickup/delivery associates are always on time and actually on the early side and I am never waiting. They tell you as soon as they're on their way so you aren't caught off guard. They also climb up my 4th floor walk up as well. My clothes always smell great and I love that they have several cleaning/drying options, hang dry is specifically great for my delicates. They are a very thorough service and the receipt even lists the brands for each item.I am trying to Cleanly Reserve service, I saved a lot of money when using it and need to determine if it's worth it for the annual membership.Great stuff!"
5.0,0.181,"Only reason I give it 4 stars is because I referred a friend and they did not have the best experience, which really bums me out.On the other hand, the other 4 stars are based on MY experience the last 8 months. The first time they picked up my laundry they gave me three bags (wash and fold, dry clean, and hang dry). The app is super easy and the prices in my opinion are cheaper than some of my laundromats around my place in EV.You have the options for washing preferences and everything has been clean and fresh! My only recommendation is if you do the hang dry option, make sure you're home to receive it ASAP and take it out to further dry. It gets delivered semi dry so if you don't air it out it'll get that mildewy smell which is NOT OK!Otherwise my experience has been great with Cleanly and prefer it over other laundry services"
2.0,0.146,"Gave Cleanly another shot because short of going to the Laundromat myself, I don't have many other options. So, I'd like to update my review to mention that I DO feel as though I can trust Cleanly to handle my wash & fold needs and I would recommend them for that.  They are consistently on time, if not slightly early and the convenience of not having to lug my clothes around & spend time at the Laundromat is beyond worth it for me-- using the app is SO easy.  My wash & fold comes back smelling nice & usually folded without wrinkles."
4.0,0.1615,"I tried Cleanly for the first time after a friend recommended it. I decided to try it out for drycleaning my coats and dresses. The app was really easy to use, and you can specify where stains are/ where they need to pay special attention with a photo/ description. Pick up and delivery were easy to schedule, and I just left the items with my doorman for pickup. There are text messages that tell you where your items are, and customer service was great! I had to contact them about a billing issue and got a response within a day. Would recommend!"
3.0,0.1538,"really have nothing bad to say about cleanly! I've only used the regular laundry (haven't done blankets or duvets), but that service has been stellar for the year-ish i've been using them consistently. They have been on time almost always, or if late, extremely communicative."
3.0,0.1866,Going from a unit with a stacking washer dryer to a building without laundry even in building was a frustrating transition. My husband and I are very glad we found cleanly. Reasonably priced for laundry pick up and drop off with 24 your turn around and the annual reserve account has paid for itself with discounts etc. any items lost (which can happen with any kind of laundry service) the team has been great to credit us for.
5.0,0.1462,"Amazing laundry service! Very easy to use app and great time windows for drop off/delivery. Sent off a large load of laundry 7AM one morning and got back around same time the next. Highly recommend, very efficient and clothes were perfectly folded and smelled so nice! I will definitely continue to use this service!"
3.0,0.1486,"Cleanly is a great service for the busy professional. The advantages are as follows:1. I feel the prices are very reasonable - but they have inched up (on the shirts I guess).2. It is very convenient, especially in the winters3. Customer service is extremely responsive. Sometimes the problem is beyond their control but they still try to help.There are some glitches with the app. I am unable to order Rush Delivery at times. That will get sorted over a period of time I hope. I also hope they have a better loyalty/reserve program. They should better reward loyal/sticky customers."
1.0,0.173,"I absolutely love Cleanly. It's extremely efficient and convenient to use. The app is super easy to use and it makes laundry day not a pain. Living in NYC, doing laundry is a bit of a task. So it's nice to use the app, and have someone come pick up your laundry and then deliver it the next day. I once had a delivery guy cancel and I got a notification that I cancelled my order, so I was charged. When I reached out to customer service they were extremely helpful and reversed the fee. They responded in a timely manner, and I was able to create another order. To be honest, it is pretty pricey to use. I usually wait until they have a promotion so I can use them."
6.0,0.1481,"Excellent service! Always on time and reasonable prices!! If you encounter any problems, which I doubt, they are super quick to answer and their will help you until everything is resolved!! Would recommend 100%"
4.0,0.1532,"Not sure I'll ever do my own laundry again. Both the pickup and drop-off individuals were very kind and well within the hour window. I had originally rushed home thinking that they would arrive without notice, but the app actually sends you a notification when they're en route. Everything was super clean and expertly folded. Would recommend to everyone, and have already convinced all of my friends."
5.0,0.204,"I'm really impressed! I recently broke a bone in my foot and am not able to walk to the laundromat that I normally use. The drivers on pickup and delivery both walked up to my sixth floor apartment to move my laundry, really kind of them. My clothes were on time, smelled fresh, and folded sharply. I would definitely use them again."
7.0,0.1465,Always arrives and delivers in the window you requested. Clothes are folded neatly and the point people are vey friendly. Great service if time is not on your side when it comes to getting laundry done.
4.0,0.1597,"I am a reserve member and use cleanly about 2x a month. It's incredibly convenient and the delivery staff is always on time. I've also completed gotten my money's worth with my Reserve membership because I wash my clothes in small batches and always have 6-10 items for hang dry. Generally, my clothes are washed well and folded with no issues and in the few instances, the cleanly team is amazing about following up and making it right."
3.0,0.1352,I've been using Cleanly for a few months after giving up on fly cleaners. The rates are the same and it's an infinitely better experience. Thanks so much to the Cleanly team.
1.0,0.1559,They do an excellent job in a timely manner. Definitely worth the price if you are a busy New Yorker.
7.0,0.2222,"I've been using Cleanly for 6 months now - I've had a good experience with them.Being able to schedule and track everything is fantastic and I don't have to worry about when my local cleaner opens and closes. The deliver people are always nice and usually show up within 5-10 minutes of the beginning of the window you selected for delivery.Having the option to select warm / cold + dry temperature is really nice - I haven't had any clothes come back damaged. There have been two occasions were my items weren't perfect - once I received clothes that felt slick, I believe that they may have used softener even though I selected to not have it applied, and another time my clothes were folded but had a lot of wrinkles - both things I could live with - otherwise every other time has met my expectations.The only thing missing from the service is an Android application, it's a little annoying to have to use the mobile site to manage an order and I haven't been able to 'track' my delivery person via Android yet.Overall I would recommend Cleanly to anyone who is wanting a convenient service to have their clothes cleaned and is willing to pay a little extra for that luxury."
5.0,0.1281,"Cleanly does a great job everytime and my clothes come back folded perfectly, which is a huge plus for me!"
1.0,0.1477,"I've been using Cleanly for a couple months now and am quite happy. I had an absolutely horrifying experience with Fly Cleaners which made me make the switch and I am happy I did.They are fast, on time, and my clothes come perfectly folded smelling fresh. I also appreciate that you can set your laundry preferences so that athletic items and whites don't come back ruined. Definitely recommend if you are busy and don't have time for small things like grocies, laundry, cleaning etc."
8.0,0.1419,Ive dealt with many cleaning service and Cleanly is the best so far! Well done  from the instant real time sms updates to prompt delivery to even the laundry bag excellent service
2.0,0.3011,"I've been using Cleanly for 6 months now.Pros-Nice valets-On-time pick-up and drop-off-Nicely folded clothes and they do hang dry my more delicate items for a small fee-Nice free hang dry bag and laundry bag-Feel like it's more hygenic than leaving my laundry bag in a huge pile at the local laundromat as they double bag my clothes with plastic and it goes in a car, but who the heck knows-Free delivery for larger loadsCons-At $1.50 per pound it's....well I don't have to leave my apartment so no complaints.-Sometimes inconsistent...I've asked for no fabric softener and been disappointed to find that my clothes were full of it and stunk up my whole house with that fragrant odor.  -Sometimes the plastic bag will have a hole in it....I think it happens when the valet carries it and tries to grip it. This has happened three times but it probably happens when they take it upstairs, because it's always in the same spot. I told Cleanly about it once and they offered to rewash the clothes.-Personally, I find the price to wash bigger blankets and larger items to be too steep.Overall I like the service. I'll be inside this coming winter and not hauling a bag to the laundromat in the snow. Ain't nobody got time for that."
1.0,0.1595,Love the ability to schedule late night pick ups and overnight turn arounds. Makes my life a lot easier!
6.0,0.1856,"Cleanly is a reputable dry cleaning service.  I have been using them since July 2015.  All in all, they have provided good quality dry cleaning and regular washes. They have cleaned up the toughest stains on my clothes and bedding. Maybe once they did not arrive in time, but I use them on a regular basis at least 2 to 4 times per month and they are on time 95 percent of the time.  When there are snow storms or any kind of delay - they notify me.  I really appreciate their good sense and how they treat their customers.  The customer service team is super responsive and very helpful.  I would recommend this laundry service to anyone."
0.0,0.1609,"Cleanly is an awesome app. Since my building doesn't have laundry and the local wash n' folds in my neighborhood make your clothes smell like chemical grade detergent, Cleanly was a lifesaver. It's easy to schedule your pick-up and drop-off, VIP upgrades are great, and my clothes always come back smelling great. All clothes are folded nicely and come in a nice plastic wrap inside the bag. Def would recommend to anyone!"
2.0,0.1451,"I've been very happy with Cleanly over the months I've been using them. They are quite punctual, and when they are delayed, I appreciate the prompt notifications by SMS. The pick-up and delivery folks are always pleasant and cheerful, and they do a great job with wash-and-fold. I've only used the dry-clean service once, but they definitely lived up to expectations!"
0.0,0.1326,I've been using Cleanly's service since July & I love it. They're there when they say they'll be & the clothes have been handled perfectly. I'm a fan!
4.0,0.1396,"Convenient and professional, door-to-door dry cleaning. I've used Cleanly five times and not had one issue with their service. I called to ask some specific questions about seperating delicate items and having two laundry bags instead of one, and customer service were very helpful.Certainly more expensive than visiting a local dry cleaner directly, but I think it's still worth it."
2.0,0.1414,"Prompt service. Clothes came back neatly folded with delicates separated. I had to switch my drop off date a few times, it was easy, free of charge, and convenient."
7.0,0.1947,"I was nervous to use the service for my first time, but from the valet doing the pickup to having to call after my order was delivered, everyone was extremely helpful! I was nervous about including towels in my order, so the valet had me put them separate so they got washed separately. When I got my order after work, my hang dry items were MIA. I called Cleanly, and they resolved my issue within 15 minutes (turns out I had the items all along, they were just hanging in the buildings closet). I'll absolutely use them again.My only complaint is that I wish they had more details on their website for first time users, but if you get a helpful valet, they'll be able to answer any questions at your initial pickup."
4.0,0.182,"I was a little worried because the reviews seem varied but I had a great experience with Cleanly and plan to use them regularly.  I scheduled my pickup time and the driver came at the beginning of the time slot so that was great.  My delivery did get rescheduled because of a snow storm to the next day.  This let's me know that they care about their employees!The laundry came back in one of their VERY sturdy laundry bags (I had sent it out in my flimsy one) and so I thought they trashed mine.  When I opened the bag, I found another Cleanly laundry bag for future use as well as my old one folded neatly.  How nice.  I also LOVE how you have the option of what type of soap you want.  I have very sensitive skin and can only use no fragrance/no dye detergent.  Cleanly is wonderful and I would recommend to everyone."
0.0,0.1594,"Cleanly rocks! It really couldn't get any easier. I set up my order with a few clicks, someone kind and friendly shows up at my door, the one time I reached out to Support (not even a problem, just a question), they answered fast and thoroughly.Cleanly's gonna own this market"
6.0,0.1577,Quick and easy - great for when the piles of laundry start to get overwhelming. Quick turnover and prices comparable to other services.
3.0,0.1224,"I've used Cleanly for the last year+. Has always been great service, come in the windows they say they will. If there ever is anything i'm dissatisfied with, they go above and beyond to make sure it's fixed in a timely manner."
2.0,0.1545,"After moving to a new apartment with no washing machine I needed help!I compared Cleanly and FlyCleaners. Cleanly won with more available pickup and drop off options as well as more rush same day service times.I jumped right into a Cleanly Reserve free trial to take advantage of free hand dry options and free delivery ALWAYS.Service has been ridiculously prompt and professional, and I live I on the 5th floor!"
0.0,0.1303,I love this service.  It is very easy and I think it is cost effective since it frees up my time.I recommend to everybody!!
2.0,0.1581,"I really like Cleanly. I much prefer to use an app vs calling to schedule pickups for wash & folks services, so i like that aspect and my favorite part is that the way my clothes are organized when I receive them back (e.g., undergarments in a separate plastic bag). I'd recommend using cleanly!"
2.0,0.142,Only service I have every reviewed. It is simply perfect. Must have in NYC.They have my launderers work shirts done right. My wash and fold smells good and is folded right. Pick up and delivery gentlemen are outstanding.Customer service has been exceptional!Download. Give it a try!
6.0,0.1623,Best laundry service!  Great price and super fast turnaround with excellent customer service - Highly recommended!!
6.0,0.1414,"One of the wonders of NYC living.  Reliable service. Laundry comes folded, soft, clean.  The laundry is folded nicely.  The system is reliable. Far cheaper than hiring someone to do it and comes out nicer than I could do it."
